[s],CH1[V]
2.17620E-02,2.366E-02
2.17640E-02,2.366E-02
2.17660E-02,2.366E-02
2.17680E-02,2.366E-02
2.17700E-02,2.366E-02
2.17720E-02,2.366E-02
2.17740E-02,2.366E-02
2.17760E-02,2.366E-02
2.17780E-02,2.366E-02
2.17800E-02,2.366E-02
2.17820E-02,2.366E-02
2.17840E-02,2.406E-02
2.17860E-02,2.366E-02
2.17880E-02,2.366E-02
2.17900E-02,2.366E-02
2.17920E-02,2.366E-02
2.17940E-02,2.366E-02
2.17960E-02,2.406E-02
2.17980E-02,2.326E-02
2.18000E-02,2.366E-02
2.18020E-02,2.406E-02
2.18040E-02,2.366E-02
2.18060E-02,2.366E-02
2.18080E-02,2.406E-02
2.18100E-02,2.406E-02
2.18120E-02,2.366E-02
2.18140E-02,2.366E-02
2.18160E-02,2.366E-02
2.18180E-02,2.366E-02
2.18200E-02,2.366E-02
2.18220E-02,2.366E-02
2.18240E-02,2.366E-02
2.18260E-02,2.366E-02
2.18280E-02,2.366E-02
2.18300E-02,2.366E-02
2.18320E-02,2.366E-02
2.18340E-02,2.366E-02
2.18360E-02,2.366E-02
2.18380E-02,2.326E-02
2.18400E-02,2.406E-02
2.18420E-02,2.366E-02
2.18440E-02,2.366E-02
2.18460E-02,2.366E-02
2.18480E-02,2.366E-02
2.18500E-02,2.366E-02
2.18520E-02,2.366E-02
2.18540E-02,2.406E-02
2.18560E-02,2.366E-02
2.18580E-02,2.366E-02
2.18600E-02,2.366E-02
2.18620E-02,2.366E-02
2.18640E-02,2.366E-02
2.18660E-02,2.366E-02
2.18680E-02,2.366E-02
2.18700E-02,2.366E-02
2.18720E-02,2.366E-02
2.18740E-02,2.366E-02
2.18760E-02,2.366E-02
2.18780E-02,2.366E-02
2.18800E-02,2.366E-02
2.18820E-02,2.366E-02
2.18840E-02,2.366E-02
2.18860E-02,2.366E-02
2.18880E-02,2.366E-02
2.18900E-02,2.366E-02
2.18920E-02,2.366E-02
2.18940E-02,2.366E-02
2.18960E-02,2.366E-02
2.18980E-02,2.366E-02
2.19000E-02,2.366E-02
2.19020E-02,2.406E-02
2.19040E-02,2.406E-02
2.19060E-02,2.366E-02
2.19080E-02,2.366E-02
2.19100E-02,2.406E-02
2.19120E-02,2.406E-02
2.19140E-02,2.366E-02
2.19160E-02,2.406E-02
2.19180E-02,2.366E-02
2.19200E-02,2.366E-02
2.19220E-02,2.366E-02
2.19240E-02,2.366E-02
2.19260E-02,2.366E-02
2.19280E-02,2.366E-02
2.19300E-02,2.366E-02
2.19320E-02,2.366E-02
2.19340E-02,2.366E-02
2.19360E-02,2.366E-02
2.19380E-02,2.366E-02
2.19400E-02,2.366E-02
2.19420E-02,2.366E-02
2.19440E-02,2.406E-02
2.19460E-02,2.366E-02
2.19480E-02,2.326E-02
2.19500E-02,2.406E-02
2.19520E-02,2.366E-02
2.19540E-02,2.406E-02
2.19560E-02,2.366E-02
2.19580E-02,2.366E-02
2.19600E-02,2.366E-02
2.19620E-02,2.366E-02
2.19640E-02,2.406E-02
2.19660E-02,2.366E-02
2.19680E-02,2.366E-02
2.19700E-02,2.366E-02
2.19720E-02,2.366E-02
2.19740E-02,2.366E-02
2.19760E-02,2.406E-02
2.19780E-02,2.366E-02
2.19800E-02,2.366E-02
2.19820E-02,2.366E-02
2.19840E-02,2.366E-02
2.19860E-02,2.366E-02
2.19880E-02,2.366E-02
2.19900E-02,2.366E-02
2.19920E-02,2.366E-02
2.19940E-02,2.366E-02
2.19960E-02,2.406E-02
2.19980E-02,2.366E-02
2.20000E-02,2.406E-02
2.20020E-02,2.366E-02
2.20040E-02,2.366E-02
2.20060E-02,2.366E-02
2.20080E-02,2.366E-02
2.20100E-02,2.366E-02
2.20120E-02,2.366E-02
2.20140E-02,2.366E-02
2.20160E-02,2.366E-02
2.20180E-02,2.366E-02
2.20200E-02,2.366E-02
2.20220E-02,2.366E-02
2.20240E-02,2.366E-02
2.20260E-02,2.366E-02
2.20280E-02,2.406E-02
2.20300E-02,2.366E-02
2.20320E-02,2.366E-02
2.20340E-02,2.406E-02
2.20360E-02,2.366E-02
2.20380E-02,2.366E-02
2.20400E-02,2.366E-02
2.20420E-02,2.366E-02
2.20440E-02,2.366E-02
2.20460E-02,2.366E-02
2.20480E-02,2.366E-02
2.20500E-02,2.366E-02
2.20520E-02,2.366E-02
2.20540E-02,2.366E-02
2.20560E-02,2.366E-02
2.20580E-02,2.366E-02
2.20600E-02,2.366E-02
2.20620E-02,2.366E-02
2.20640E-02,2.366E-02
2.20660E-02,2.366E-02
2.20680E-02,2.406E-02
2.20700E-02,2.406E-02
2.20720E-02,2.366E-02
2.20740E-02,2.366E-02
2.20760E-02,2.406E-02
2.20780E-02,2.366E-02
2.20800E-02,2.366E-02
2.20820E-02,2.366E-02
2.20840E-02,2.366E-02
2.20860E-02,2.366E-02
2.20880E-02,2.366E-02
2.20900E-02,2.366E-02
2.20920E-02,2.366E-02
2.20940E-02,2.326E-02
2.20960E-02,2.366E-02
2.20980E-02,2.326E-02
2.21000E-02,2.366E-02
2.21020E-02,2.366E-02
2.21040E-02,2.366E-02
2.21060E-02,2.366E-02
2.21080E-02,2.406E-02
2.21100E-02,2.366E-02
2.21120E-02,2.406E-02
2.21140E-02,2.406E-02
2.21160E-02,2.366E-02
2.21180E-02,2.366E-02
2.21200E-02,2.406E-02
2.21220E-02,2.366E-02
2.21240E-02,2.366E-02
2.21260E-02,2.366E-02
2.21280E-02,2.406E-02
2.21300E-02,2.406E-02
2.21320E-02,2.366E-02
2.21340E-02,2.366E-02
2.21360E-02,2.366E-02
2.21380E-02,2.406E-02
2.21400E-02,2.366E-02
2.21420E-02,2.366E-02
2.21440E-02,2.366E-02
2.21460E-02,2.366E-02
2.21480E-02,2.366E-02
2.21500E-02,2.406E-02
2.21520E-02,2.406E-02
2.21540E-02,2.366E-02
2.21560E-02,2.366E-02
2.21580E-02,2.366E-02
2.21600E-02,2.366E-02
2.21620E-02,2.366E-02
2.21640E-02,2.406E-02
2.21660E-02,2.366E-02
2.21680E-02,2.366E-02
2.21700E-02,2.366E-02
2.21720E-02,2.406E-02
2.21740E-02,2.366E-02
2.21760E-02,2.406E-02
2.21780E-02,2.366E-02
2.21800E-02,2.366E-02
2.21820E-02,2.366E-02
2.21840E-02,2.366E-02
2.21860E-02,2.366E-02
2.21880E-02,2.366E-02
2.21900E-02,2.366E-02
2.21920E-02,2.406E-02
2.21940E-02,2.366E-02
2.21960E-02,2.366E-02
2.21980E-02,2.366E-02
2.22000E-02,2.366E-02
2.22020E-02,2.366E-02
2.22040E-02,2.366E-02
2.22060E-02,2.366E-02
2.22080E-02,2.366E-02
2.22100E-02,2.366E-02
2.22120E-02,2.406E-02
2.22140E-02,2.366E-02
2.22160E-02,2.366E-02
