[s],CH1[V]
-9.7180E-02,2.366E-02
-9.7160E-02,2.366E-02
-9.7140E-02,2.326E-02
-9.7120E-02,2.366E-02
-9.7100E-02,2.366E-02
-9.7080E-02,2.366E-02
-9.7060E-02,2.366E-02
-9.7040E-02,2.366E-02
-9.7020E-02,2.366E-02
-9.7000E-02,2.366E-02
-9.6980E-02,2.406E-02
-9.6960E-02,2.366E-02
-9.6940E-02,2.366E-02
-9.6920E-02,2.326E-02
-9.6900E-02,2.366E-02
-9.6880E-02,2.366E-02
-9.6860E-02,2.366E-02
-9.6840E-02,2.366E-02
-9.6820E-02,2.406E-02
-9.6800E-02,2.406E-02
-9.6780E-02,2.366E-02
-9.6760E-02,2.366E-02
-9.6740E-02,2.406E-02
-9.6720E-02,2.366E-02
-9.6700E-02,2.406E-02
-9.6680E-02,2.406E-02
-9.6660E-02,2.366E-02
-9.6640E-02,2.406E-02
-9.6620E-02,2.406E-02
-9.6600E-02,2.366E-02
-9.6580E-02,2.366E-02
-9.6560E-02,2.366E-02
-9.6540E-02,2.366E-02
-9.6520E-02,2.366E-02
-9.6500E-02,2.366E-02
-9.6480E-02,2.366E-02
-9.6460E-02,2.366E-02
-9.6440E-02,2.406E-02
-9.6420E-02,2.366E-02
-9.6400E-02,2.366E-02
-9.6380E-02,2.366E-02
-9.6360E-02,2.366E-02
-9.6340E-02,2.366E-02
-9.6320E-02,2.366E-02
-9.6300E-02,2.366E-02
-9.6280E-02,2.366E-02
-9.6260E-02,2.366E-02
-9.6240E-02,2.366E-02
-9.6220E-02,2.366E-02
-9.6200E-02,2.366E-02
-9.6180E-02,2.366E-02
-9.6160E-02,2.366E-02
-9.6140E-02,2.366E-02
-9.6120E-02,2.366E-02
-9.6100E-02,2.366E-02
-9.6080E-02,2.406E-02
-9.6060E-02,2.366E-02
-9.6040E-02,2.406E-02
-9.6020E-02,2.366E-02
-9.6000E-02,2.406E-02
-9.5980E-02,2.366E-02
-9.5960E-02,2.366E-02
-9.5940E-02,2.366E-02
-9.5920E-02,2.366E-02
-9.5900E-02,2.366E-02
-9.5880E-02,2.366E-02
-9.5860E-02,2.366E-02
-9.5840E-02,2.366E-02
-9.5820E-02,2.406E-02
-9.5800E-02,2.406E-02
-9.5780E-02,2.366E-02
-9.5760E-02,2.366E-02
-9.5740E-02,2.366E-02
-9.5720E-02,2.366E-02
-9.5700E-02,2.366E-02
-9.5680E-02,2.406E-02
-9.5660E-02,2.406E-02
-9.5640E-02,2.366E-02
-9.5620E-02,2.406E-02
-9.5600E-02,2.366E-02
-9.5580E-02,2.406E-02
-9.5560E-02,2.406E-02
-9.5540E-02,2.406E-02
-9.5520E-02,2.406E-02
-9.5500E-02,2.406E-02
-9.5480E-02,2.406E-02
-9.5460E-02,2.406E-02
-9.5440E-02,2.446E-02
-9.5420E-02,2.446E-02
-9.5400E-02,2.446E-02
-9.5380E-02,2.406E-02
-9.5360E-02,2.446E-02
-9.5340E-02,2.406E-02
-9.5320E-02,2.446E-02
-9.5300E-02,2.446E-02
-9.5280E-02,2.446E-02
-9.5260E-02,2.446E-02
-9.5240E-02,2.446E-02
-9.5220E-02,2.486E-02
-9.5200E-02,2.446E-02
-9.5180E-02,2.446E-02
-9.5160E-02,2.446E-02
-9.5140E-02,2.486E-02
-9.5120E-02,2.446E-02
-9.5100E-02,2.486E-02
-9.5080E-02,2.486E-02
-9.5060E-02,2.486E-02
-9.5040E-02,2.486E-02
-9.5020E-02,2.486E-02
-9.5000E-02,2.486E-02
-9.4980E-02,2.486E-02
-9.4960E-02,2.526E-02
-9.4940E-02,2.526E-02
-9.4920E-02,2.526E-02
-9.4900E-02,2.526E-02
-9.4880E-02,2.526E-02
-9.4860E-02,2.566E-02
-9.4840E-02,2.606E-02
-9.4820E-02,2.606E-02
-9.4800E-02,2.606E-02
-9.4780E-02,2.686E-02
-9.4760E-02,2.726E-02
-9.4740E-02,2.806E-02
-9.4720E-02,2.846E-02
-9.4700E-02,2.926E-02
-9.4680E-02,3.006E-02
-9.4660E-02,3.126E-02
-9.4640E-02,3.206E-02
-9.4620E-02,3.366E-02
-9.4600E-02,3.526E-02
-9.4580E-02,3.686E-02
-9.4560E-02,3.846E-02
-9.4540E-02,3.926E-02
-9.4520E-02,3.966E-02
-9.4500E-02,4.006E-02
-9.4480E-02,4.006E-02
-9.4460E-02,3.966E-02
-9.4440E-02,3.886E-02
-9.4420E-02,3.806E-02
-9.4400E-02,3.766E-02
-9.4380E-02,3.646E-02
-9.4360E-02,3.566E-02
-9.4340E-02,3.446E-02
-9.4320E-02,3.406E-02
-9.4300E-02,3.286E-02
-9.4280E-02,3.206E-02
-9.4260E-02,3.166E-02
-9.4240E-02,3.126E-02
-9.4220E-02,3.046E-02
-9.4200E-02,3.006E-02
-9.4180E-02,2.926E-02
-9.4160E-02,2.886E-02
-9.4140E-02,2.886E-02
-9.4120E-02,2.846E-02
-9.4100E-02,2.766E-02
-9.4080E-02,2.766E-02
-9.4060E-02,2.726E-02
-9.4040E-02,2.686E-02
-9.4020E-02,2.686E-02
-9.4000E-02,2.686E-02
-9.3980E-02,2.646E-02
-9.3960E-02,2.606E-02
-9.3940E-02,2.566E-02
-9.3920E-02,2.566E-02
-9.3900E-02,2.566E-02
-9.3880E-02,2.526E-02
-9.3860E-02,2.526E-02
