[],CH1[]
-5.9990E-02,-7.5988609696E-03
-5.9980E-02,-1.1000192079E-02
-5.9970E-02,-1.3759074733E-02
-5.9960E-02,-1.6941409784E-02
-5.9950E-02,-1.9953267913E-02
-5.9940E-02,-2.2939153675E-02
-5.9930E-02,-2.5633299006E-02
-5.9920E-02,-2.8736767094E-02
-5.9910E-02,-3.1487808637E-02
-5.9900E-02,-3.4084526595E-02
-5.9890E-02,-3.7377045367E-02
-5.9880E-02,-3.9651390873E-02
-5.9870E-02,-4.2930689811E-02
-5.9860E-02,-4.5814784187E-02
-5.9850E-02,-4.7928797959E-02
-5.9840E-02,-5.1196919834E-02
-5.9830E-02,-5.3770158329E-02
-5.9820E-02,-5.6962806414E-02
-5.9810E-02,-5.9264959157E-02
-5.9800E-02,-6.2013202620E-02
-5.9790E-02,-6.4820695963E-02
-5.9780E-02,-6.7876064531E-02
-5.9770E-02,-7.1007704161E-02
-5.9760E-02,-7.3315302384E-02
-5.9750E-02,-7.6154122023E-02
-5.9740E-02,-7.8952187341E-02
-5.9730E-02,-8.1699641162E-02
-5.9720E-02,-8.4046109245E-02
-5.9710E-02,-8.6705384426E-02
-5.9700E-02,-8.9869323099E-02
-5.9690E-02,-9.2472043483E-02
-5.9680E-02,-9.5725001935E-02
-5.9670E-02,-9.8180557014E-02
-5.9660E-02,-1.0066174304E-01
-5.9650E-02,-1.0370149043E-01
-5.9640E-02,-1.0678874605E-01
-5.9630E-02,-1.0978189691E-01
-5.9620E-02,-1.1200222820E-01
-5.9610E-02,-1.1464797074E-01
-5.9600E-02,-1.1763030312E-01
-5.9590E-02,-1.2010739216E-01
-5.9580E-02,-1.2322165012E-01
-5.9570E-02,-1.2592436326E-01
-5.9560E-02,-1.2866417243E-01
-5.9550E-02,-1.3107738246E-01
-5.9540E-02,-1.3386922219E-01
-5.9530E-02,-1.3701487893E-01
-5.9520E-02,-1.3917152385E-01
-5.9510E-02,-1.4203264612E-01
-5.9500E-02,-1.4475697906E-01
-5.9490E-02,-1.4829212594E-01
-5.9480E-02,-1.5097739447E-01
-5.9470E-02,-1.5356979419E-01
-5.9460E-02,-1.5681569354E-01
-5.9450E-02,-1.5905433348E-01
-5.9440E-02,-1.6233959670E-01
-5.9430E-02,-1.6507058819E-01
-5.9420E-02,-1.6759650536E-01
-5.9410E-02,-1.7114531458E-01
-5.9400E-02,-1.7337698316E-01
-5.9390E-02,-1.7630938496E-01
-5.9380E-02,-1.7987193090E-01
-5.9370E-02,-1.8311005781E-01
-5.9360E-02,-1.8548302469E-01
-5.9350E-02,-1.8927731923E-01
-5.9340E-02,-1.9133403815E-01
-5.9330E-02,-1.9421236471E-01
-5.9320E-02,-1.9727732915E-01
-5.9310E-02,-1.9961715584E-01
-5.9300E-02,-2.0296825501E-01
-5.9290E-02,-2.0547600469E-01
-5.9280E-02,-2.0837429165E-01
-5.9270E-02,-2.1165617123E-01
-5.9260E-02,-2.1418899873E-01
-5.9250E-02,-2.1736480683E-01
-5.9240E-02,-2.2080797945E-01
-5.9230E-02,-2.2333516501E-01
-5.9220E-02,-2.2627579129E-01
-5.9210E-02,-2.2910157230E-01
-5.9200E-02,-2.3178722611E-01
-5.9190E-02,-2.3406164600E-01
-5.9180E-02,-2.3751488370E-01
-5.9170E-02,-2.4022650225E-01
-5.9160E-02,-2.4366517925E-01
-5.9150E-02,-2.4623966515E-01
-5.9140E-02,-2.4935980537E-01
-5.9130E-02,-2.5219799559E-01
-5.9120E-02,-2.5499582630E-01
-5.9110E-02,-2.5789016505E-01
-5.9100E-02,-2.6052969726E-01
-5.9090E-02,-2.6304475399E-01
-5.9080E-02,-2.6599325763E-01
-5.9070E-02,-2.6855062126E-01
-5.9060E-02,-2.7182175293E-01
-5.9050E-02,-2.7448985723E-01
-5.9040E-02,-2.7769799299E-01
-5.9030E-02,-2.8042759402E-01
-5.9020E-02,-2.8313156410E-01
-5.9010E-02,-2.8648153413E-01
-5.9000E-02,-2.8908851171E-01
-5.8990E-02,-2.9179916896E-01
-5.8980E-02,-2.9460798982E-01
-5.8970E-02,-2.9780695695E-01
-5.8960E-02,-3.0050179084E-01
-5.8950E-02,-3.0329232213E-01
-5.8940E-02,-3.0611170398E-01
-5.8930E-02,-3.0875862907E-01
-5.8920E-02,-3.1178451575E-01
-5.8910E-02,-3.1507277923E-01
-5.8900E-02,-3.1784384031E-01
-5.8890E-02,-3.2021466142E-01
-5.8880E-02,-3.2320657822E-01
-5.8870E-02,-3.2564580448E-01
-5.8860E-02,-3.2890252613E-01
-5.8850E-02,-3.3169139612E-01
-5.8840E-02,-3.3509001498E-01
-5.8830E-02,-3.3758268898E-01
-5.8820E-02,-3.4064586241E-01
-5.8810E-02,-3.4345389363E-01
-5.8800E-02,-3.4623903857E-01
-5.8790E-02,-3.4874955390E-01
-5.8780E-02,-3.5182007445E-01
-5.8770E-02,-3.5496853308E-01
