[],CH2[]
-5.9990E-02,-4.3401654474E-02
-5.9980E-02,-4.5504654261E-02
-5.9970E-02,-4.7849072898E-02
-5.9960E-02,-5.0239997465E-02
-5.9950E-02,-5.2670324043E-02
-5.9940E-02,-5.4959426706E-02
-5.9930E-02,-5.6750752360E-02
-5.9920E-02,-5.8540838238E-02
-5.9910E-02,-6.0922978510E-02
-5.9900E-02,-6.3219644765E-02
-5.9890E-02,-6.4945554080E-02
-5.9880E-02,-6.7171396661E-02
-5.9870E-02,-6.9616634891E-02
-5.9860E-02,-7.1564467091E-02
-5.9850E-02,-7.3522525541E-02
-5.9840E-02,-7.5515779344E-02
-5.9830E-02,-7.8072854966E-02
-5.9820E-02,-8.0301628189E-02
-5.9810E-02,-8.1931838189E-02
-5.9800E-02,-8.4374593050E-02
-5.9790E-02,-8.6538464918E-02
-5.9780E-02,-8.8804367545E-02
-5.9770E-02,-9.0972387897E-02
-5.9760E-02,-9.3092911450E-02
-5.9750E-02,-9.5535759772E-02
-5.9740E-02,-9.7886620479E-02
-5.9730E-02,-1.0011421115E-01
-5.9720E-02,-1.0189186206E-01
-5.9710E-02,-1.0411404540E-01
-5.9700E-02,-1.0563602862E-01
-5.9690E-02,-1.0759327930E-01
-5.9680E-02,-1.0987601714E-01
-5.9670E-02,-1.1242152946E-01
-5.9660E-02,-1.1438333681E-01
-5.9650E-02,-1.1697823992E-01
-5.9640E-02,-1.1915238286E-01
-5.9630E-02,-1.2138340008E-01
-5.9620E-02,-1.2316885301E-01
-5.9610E-02,-1.2529021008E-01
-5.9600E-02,-1.2747293227E-01
-5.9590E-02,-1.2994715362E-01
-5.9580E-02,-1.3234444015E-01
-5.9570E-02,-1.3478300266E-01
-5.9560E-02,-1.3667759408E-01
-5.9550E-02,-1.3917893029E-01
-5.9540E-02,-1.4137937557E-01
-5.9530E-02,-1.4321643468E-01
-5.9520E-02,-1.4531410248E-01
-5.9510E-02,-1.4760406726E-01
-5.9500E-02,-1.4961145547E-01
-5.9490E-02,-1.5192277684E-01
-5.9480E-02,-1.5393856406E-01
-5.9470E-02,-1.5546346266E-01
-5.9460E-02,-1.5811473938E-01
-5.9450E-02,-1.6018006902E-01
-5.9440E-02,-1.6285273379E-01
-5.9430E-02,-1.6518281680E-01
-5.9420E-02,-1.6708261337E-01
-5.9410E-02,-1.6936733867E-01
-5.9400E-02,-1.7152917254E-01
-5.9390E-02,-1.7354553292E-01
-5.9380E-02,-1.7538219053E-01
-5.9370E-02,-1.7784636301E-01
-5.9360E-02,-1.8001155953E-01
-5.9350E-02,-1.8235013024E-01
-5.9340E-02,-1.8420238424E-01
-5.9330E-02,-1.8626474033E-01
-5.9320E-02,-1.8874767635E-01
-5.9310E-02,-1.9091670283E-01
-5.9300E-02,-1.9344897720E-01
-5.9290E-02,-1.9513939648E-01
-5.9280E-02,-1.9779681104E-01
-5.9270E-02,-2.0034471804E-01
-5.9260E-02,-2.0222917476E-01
-5.9250E-02,-2.0403130173E-01
-5.9240E-02,-2.0642286049E-01
-5.9230E-02,-2.0886941384E-01
-5.9220E-02,-2.1098522242E-01
-5.9210E-02,-2.1374987576E-01
-5.9200E-02,-2.1537550336E-01
-5.9190E-02,-2.1719891920E-01
-5.9180E-02,-2.1975580218E-01
-5.9170E-02,-2.2172012532E-01
-5.9160E-02,-2.2400061725E-01
-5.9150E-02,-2.2662947785E-01
-5.9140E-02,-2.2852030226E-01
-5.9130E-02,-2.3078646810E-01
-5.9120E-02,-2.3313082189E-01
-5.9110E-02,-2.3562651140E-01
-5.9100E-02,-2.3743066969E-01
-5.9090E-02,-2.4004603580E-01
-5.9080E-02,-2.4209115232E-01
