[],CH2[]
-5.9990E-02,-1.1108644136E-02
-5.9980E-02,-1.2322641081E-02
-5.9970E-02,-1.3656772385E-02
-5.9960E-02,-1.4733135046E-02
-5.9950E-02,-1.5454072809E-02
-5.9940E-02,-1.5945381998E-02
-5.9930E-02,-1.6597594172E-02
-5.9920E-02,-1.7429920147E-02
-5.9910E-02,-1.8187257753E-02
-5.9900E-02,-1.8177071558E-02
-5.9890E-02,-1.8611383445E-02
-5.9880E-02,-1.9431625412E-02
-5.9870E-02,-2.0148739895E-02
-5.9860E-02,-2.0484431363E-02
-5.9850E-02,-2.0988350988E-02
-5.9840E-02,-2.2074021511E-02
-5.9830E-02,-2.2987415528E-02
-5.9820E-02,-2.3821357981E-02
-5.9810E-02,-2.4578025154E-02
-5.9800E-02,-2.5355799048E-02
-5.9790E-02,-2.6444791219E-02
-5.9780E-02,-2.7301385345E-02
-5.9770E-02,-2.8318353167E-02
-5.9760E-02,-2.9270074404E-02
-5.9750E-02,-3.0469247434E-02
-5.9740E-02,-3.2419933028E-02
-5.9730E-02,-3.3695080527E-02
-5.9720E-02,-3.4947018452E-02
-5.9710E-02,-3.6459319016E-02
-5.9700E-02,-3.7868053404E-02
-5.9690E-02,-3.9587948849E-02
-5.9680E-02,-4.1284009110E-02
-5.9670E-02,-4.2699530799E-02
-5.9660E-02,-4.4252430233E-02
-5.9650E-02,-4.6105486275E-02
-5.9640E-02,-4.8185527306E-02
-5.9630E-02,-4.9903430524E-02
-5.9620E-02,-5.1730761201E-02
-5.9610E-02,-5.4042684337E-02
-5.9600E-02,-5.5746170861E-02
-5.9590E-02,-5.7687443689E-02
-5.9580E-02,-5.9904901565E-02
-5.9570E-02,-6.2140312362E-02
-5.9560E-02,-6.3959483400E-02
-5.9550E-02,-6.6305813201E-02
-5.9540E-02,-6.8313124163E-02
-5.9530E-02,-7.0434035862E-02
-5.9520E-02,-7.2489516917E-02
-5.9510E-02,-7.4773726277E-02
-5.9500E-02,-7.7025169293E-02
-5.9490E-02,-7.9429118191E-02
-5.9480E-02,-8.1487247599E-02
-5.9470E-02,-8.3824968581E-02
-5.9460E-02,-8.6136730547E-02
-5.9450E-02,-8.8176347229E-02
-5.9440E-02,-9.0415600379E-02
-5.9430E-02,-9.2918524464E-02
-5.9420E-02,-9.5000155269E-02
-5.9410E-02,-9.7262281346E-02
-5.9400E-02,-9.9495817218E-02
-5.9390E-02,-1.0185735526E-01
-5.9380E-02,-1.0396376444E-01
-5.9370E-02,-1.0668228950E-01
-5.9360E-02,-1.0867434930E-01
-5.9350E-02,-1.1106743489E-01
-5.9340E-02,-1.1339256261E-01
-5.9330E-02,-1.1585460839E-01
-5.9320E-02,-1.1821593949E-01
-5.9310E-02,-1.2046288403E-01
-5.9300E-02,-1.2259697360E-01
-5.9290E-02,-1.2496260863E-01
-5.9280E-02,-1.2712329904E-01
-5.9270E-02,-1.2931286003E-01
-5.9260E-02,-1.3171955265E-01
-5.9250E-02,-1.3414274193E-01
-5.9240E-02,-1.3631211364E-01
-5.9230E-02,-1.3842497632E-01
-5.9220E-02,-1.4078858289E-01
-5.9210E-02,-1.4297589703E-01
