[],CH2[]
-5.9990E-02,-6.6779131058E-03
-5.9980E-02,-6.9709095262E-03
-5.9970E-02,-8.3219046542E-03
-5.9960E-02,-8.6466164692E-03
-5.9950E-02,-9.5068316972E-03
-5.9940E-02,-1.0255316344E-02
-5.9930E-02,-1.1147734294E-02
-5.9920E-02,-1.2365361877E-02
-5.9910E-02,-1.2613751133E-02
-5.9900E-02,-1.2255857173E-02
-5.9890E-02,-1.2488140776E-02
-5.9880E-02,-1.3483164551E-02
-5.9870E-02,-1.4312410157E-02
-5.9860E-02,-1.4760270896E-02
-5.9850E-02,-1.5186820828E-02
-5.9840E-02,-1.5628702983E-02
-5.9830E-02,-1.5904712555E-02
-5.9820E-02,-1.6419268511E-02
-5.9810E-02,-1.6774058262E-02
-5.9800E-02,-1.6811325948E-02
-5.9790E-02,-1.6916907237E-02
-5.9780E-02,-1.7109335835E-02
-5.9770E-02,-1.7552482561E-02
-5.9760E-02,-1.7202073991E-02
-5.9750E-02,-1.7331521934E-02
-5.9740E-02,-1.7188967644E-02
-5.9730E-02,-1.7194844185E-02
-5.9720E-02,-1.7835006684E-02
-5.9710E-02,-1.7754251446E-02
-5.9700E-02,-1.7712223017E-02
-5.9690E-02,-1.7514104798E-02
-5.9680E-02,-1.7798508612E-02
-5.9670E-02,-1.7989035584E-02
-5.9660E-02,-1.7971141792E-02
-5.9650E-02,-1.7452576589E-02
-5.9640E-02,-1.8411893842E-02
-5.9630E-02,-1.8226950634E-02
-5.9620E-02,-1.8505577089E-02
-5.9610E-02,-1.8378342624E-02
-5.9600E-02,-1.7894327136E-02
-5.9590E-02,-1.7681917153E-02
-5.9580E-02,-1.9090298682E-02
-5.9570E-02,-1.9027772930E-02
-5.9560E-02,-1.9112249405E-02
-5.9550E-02,-1.8632840164E-02
-5.9540E-02,-1.8612196929E-02
-5.9530E-02,-1.7986621834E-02
-5.9520E-02,-1.8606316573E-02
-5.9510E-02,-1.9508547832E-02
-5.9500E-02,-2.0295407382E-02
-5.9490E-02,-2.1090189105E-02
-5.9480E-02,-2.1688188706E-02
-5.9470E-02,-2.0964107632E-02
-5.9460E-02,-2.1034179809E-02
-5.9450E-02,-2.0697862731E-02
-5.9440E-02,-2.2070266895E-02
-5.9430E-02,-2.2616312224E-02
-5.9420E-02,-2.3334245913E-02
-5.9410E-02,-2.3471093415E-02
-5.9400E-02,-2.4043524053E-02
-5.9390E-02,-2.4899150200E-02
-5.9380E-02,-2.6257754696E-02
-5.9370E-02,-2.6461286924E-02
-5.9360E-02,-2.7996515727E-02
-5.9350E-02,-2.8847573773E-02
-5.9340E-02,-2.9524867583E-02
-5.9330E-02,-3.0688222512E-02
-5.9320E-02,-3.1818124452E-02
-5.9310E-02,-3.3178051694E-02
-5.9300E-02,-3.3649521595E-02
-5.9290E-02,-3.5169388611E-02
-5.9280E-02,-3.7011670040E-02
-5.9270E-02,-3.8534540176E-02
-5.9260E-02,-4.0614095786E-02
-5.9250E-02,-4.2829727376E-02
-5.9240E-02,-4.4512785241E-02
-5.9230E-02,-4.5655591349E-02
-5.9220E-02,-4.7531214187E-02
-5.9210E-02,-4.9542762325E-02
-5.9200E-02,-5.1286830554E-02
-5.9190E-02,-5.3690301661E-02
-5.9180E-02,-5.6596983813E-02
-5.9170E-02,-5.9012322444E-02
-5.9160E-02,-6.1683639672E-02
-5.9150E-02,-6.3321546778E-02
-5.9140E-02,-6.6427232159E-02
-5.9130E-02,-6.8739449981E-02
-5.9120E-02,-7.0956045736E-02
-5.9110E-02,-7.3330008252E-02
-5.9100E-02,-7.6003939500E-02
-5.9090E-02,-7.8867138870E-02
-5.9080E-02,-8.0925132857E-02
-5.9070E-02,-8.3371260865E-02
-5.9060E-02,-8.7248776842E-02
-5.9050E-02,-9.0212124417E-02
-5.9040E-02,-9.2559210482E-02
-5.9030E-02,-9.5289935900E-02
-5.9020E-02,-9.8258383726E-02
-5.9010E-02,-1.0066278562E-01
-5.9000E-02,-1.0257397765E-01
-5.8990E-02,-1.0601183163E-01
-5.8980E-02,-1.0847897194E-01
-5.8970E-02,-1.1111688863E-01
-5.8960E-02,-1.1430513933E-01
-5.8950E-02,-1.1805700203E-01
-5.8940E-02,-1.1982857899E-01
-5.8930E-02,-1.2239598386E-01
-5.8920E-02,-1.2527172882E-01
-5.8910E-02,-1.2835342071E-01
-5.8900E-02,-1.3073786220E-01
-5.8890E-02,-1.3278378171E-01
-5.8880E-02,-1.3563789638E-01
-5.8870E-02,-1.3784277148E-01
-5.8860E-02,-1.4072888001E-01
-5.8850E-02,-1.4357614444E-01
-5.8840E-02,-1.4642381227E-01
-5.8830E-02,-1.4859320210E-01
-5.8820E-02,-1.5131424200E-01
-5.8810E-02,-1.5417353416E-01
-5.8800E-02,-1.5611396490E-01
-5.8790E-02,-1.5848078630E-01
-5.8780E-02,-1.6105108462E-01
-5.8770E-02,-1.6374334644E-01
-5.8760E-02,-1.6634531723E-01
-5.8750E-02,-1.6846778724E-01
-5.8740E-02,-1.7126364671E-01
-5.8730E-02,-1.7369385789E-01
-5.8720E-02,-1.7545812685E-01
-5.8710E-02,-1.7797978587E-01
-5.8700E-02,-1.8027877432E-01
-5.8690E-02,-1.8287507743E-01
-5.8680E-02,-1.8568856747E-01
-5.8670E-02,-1.8716350498E-01
-5.8660E-02,-1.8888450097E-01
-5.8650E-02,-1.9119430790E-01
-5.8640E-02,-1.9355199596E-01
-5.8630E-02,-1.9611717591E-01
-5.8620E-02,-1.9872266481E-01
-5.8610E-02,-2.0123966513E-01
-5.8600E-02,-2.0334911938E-01
-5.8590E-02,-2.0564868195E-01
-5.8580E-02,-2.0772627680E-01
-5.8570E-02,-2.1008035139E-01
-5.8560E-02,-2.1249804751E-01
-5.8550E-02,-2.1540062123E-01
-5.8540E-02,-2.1687256802E-01
-5.8530E-02,-2.1919704437E-01
-5.8520E-02,-2.2169088280E-01
-5.8510E-02,-2.2351162454E-01
-5.8500E-02,-2.2623882994E-01
-5.8490E-02,-2.2823303361E-01
-5.8480E-02,-2.3036539989E-01
-5.8470E-02,-2.3262602393E-01
-5.8460E-02,-2.3547255498E-01
-5.8450E-02,-2.3814429182E-01
-5.8440E-02,-2.4070302970E-01
-5.8430E-02,-2.4218392863E-01
-5.8420E-02,-2.4477503802E-01
-5.8410E-02,-2.4667750966E-01
-5.8400E-02,-2.4923676729E-01
-5.8390E-02,-2.5194206488E-01
-5.8380E-02,-2.5405427717E-01
-5.8370E-02,-2.5627554497E-01
-5.8360E-02,-2.5849021717E-01
-5.8350E-02,-2.5991722872E-01
-5.8340E-02,-2.6197200883E-01
-5.8330E-02,-2.6484587314E-01
-5.8320E-02,-2.6675159585E-01
-5.8310E-02,-2.6902665375E-01
-5.8300E-02,-2.7074257332E-01
-5.8290E-02,-2.7379179451E-01
-5.8280E-02,-2.7612449344E-01
-5.8270E-02,-2.7793514435E-01
-5.8260E-02,-2.7989466955E-01
-5.8250E-02,-2.8205248559E-01
-5.8240E-02,-2.8428038811E-01
-5.8230E-02,-2.8666199814E-01
-5.8220E-02,-2.8878108832E-01
-5.8210E-02,-2.9060985332E-01
-5.8200E-02,-2.9305407970E-01
-5.8190E-02,-2.9476671196E-01
-5.8180E-02,-2.9635103401E-01
-5.8170E-02,-2.9943941974E-01
-5.8160E-02,-3.0159224043E-01
-5.8150E-02,-3.0362028523E-01
-5.8140E-02,-3.0515425709E-01
-5.8130E-02,-3.0714089143E-01
-5.8120E-02,-3.0858565755E-01
-5.8110E-02,-3.1094006306E-01
-5.8100E-02,-3.1339430684E-01
-5.8090E-02,-3.1638367351E-01
-5.8080E-02,-3.1838679880E-01
-5.8070E-02,-3.2052191548E-01
-5.8060E-02,-3.2236854662E-01
-5.8050E-02,-3.2429034255E-01
-5.8040E-02,-3.2654501089E-01
-5.8030E-02,-3.2872883077E-01
-5.8020E-02,-3.3042961935E-01
-5.8010E-02,-3.3292211214E-01
-5.8000E-02,-3.3524439981E-01
-5.7990E-02,-3.3732829845E-01
-5.7980E-02,-3.3954937266E-01
-5.7970E-02,-3.4134706982E-01
-5.7960E-02,-3.4370564861E-01
-5.7950E-02,-3.4573878221E-01
-5.7940E-02,-3.4782558003E-01
-5.7930E-02,-3.4963083028E-01
-5.7920E-02,-3.5164459190E-01
-5.7910E-02,-3.5402663108E-01
-5.7900E-02,-3.5548678568E-01
-5.7890E-02,-3.5786901083E-01
-5.7880E-02,-3.5985730839E-01
-5.7870E-02,-3.6193316661E-01
-5.7860E-02,-3.6454846595E-01
-5.7850E-02,-3.6627354462E-01
-5.7840E-02,-3.6870998425E-01
-5.7830E-02,-3.7123991448E-01
-5.7820E-02,-3.7242702449E-01
-5.7810E-02,-3.7496772743E-01
-5.7800E-02,-3.7672455868E-01
-5.7790E-02,-3.7847381776E-01
-5.7780E-02,-3.8070959286E-01
-5.7770E-02,-3.8300479427E-01
-5.7760E-02,-3.8529052283E-01
-5.7750E-02,-3.8750639570E-01
-5.7740E-02,-3.8938894317E-01
-5.7730E-02,-3.9116581398E-01
-5.7720E-02,-3.9359915512E-01
-5.7710E-02,-3.9578163413E-01
-5.7700E-02,-3.9765764321E-01
-5.7690E-02,-4.0021366216E-01
-5.7680E-02,-4.0309449306E-01
-5.7670E-02,-4.0452966426E-01
-5.7660E-02,-4.0625204307E-01
-5.7650E-02,-4.0821525231E-01
-5.7640E-02,-4.0992342806E-01
-5.7630E-02,-4.1255892337E-01
-5.7620E-02,-4.1484081244E-01
-5.7610E-02,-4.1705145154E-01
-5.7600E-02,-4.1855974381E-01
-5.7590E-02,-4.2121629148E-01
-5.7580E-02,-4.2344839303E-01
-5.7570E-02,-4.2527075983E-01
-5.7560E-02,-4.2722015701E-01
-5.7550E-02,-4.2902122445E-01
-5.7540E-02,-4.3153676088E-01
-5.7530E-02,-4.3357801883E-01
-5.7520E-02,-4.3557812955E-01
-5.7510E-02,-4.3763878811E-01
-5.7500E-02,-4.3920490261E-01
-5.7490E-02,-4.4170348938E-01
-5.7480E-02,-4.4387043780E-01
-5.7470E-02,-4.4544466998E-01
-5.7460E-02,-4.4822161141E-01
-5.7450E-02,-4.5017874670E-01
-5.7440E-02,-4.5239359628E-01
-5.7430E-02,-4.5373685806E-01
-5.7420E-02,-4.5656943495E-01
-5.7410E-02,-4.5822746363E-01
-5.7400E-02,-4.6040828801E-01
-5.7390E-02,-4.6292667974E-01
-5.7380E-02,-4.6445088407E-01
-5.7370E-02,-4.6695678552E-01
-5.7360E-02,-4.6886135047E-01
-5.7350E-02,-4.7064922573E-01
-5.7340E-02,-4.7174224718E-01
-5.7330E-02,-4.7450743743E-01
-5.7320E-02,-4.7631029015E-01
-5.7310E-02,-4.7828296175E-01
-5.7300E-02,-4.7957142350E-01
-5.7290E-02,-4.8158754736E-01
-5.7280E-02,-4.8345640102E-01
-5.7270E-02,-4.8598117474E-01
-5.7260E-02,-4.8828904476E-01
-5.7250E-02,-4.9006240796E-01
-5.7240E-02,-4.9221391258E-01
-5.7230E-02,-4.9455357143E-01
-5.7220E-02,-4.9729267583E-01
-5.7210E-02,-4.9987981603E-01
-5.7200E-02,-5.0150704675E-01
-5.7190E-02,-5.0334760585E-01
-5.7180E-02,-5.0475788423E-01
-5.7170E-02,-5.0696494134E-01
-5.7160E-02,-5.0909720272E-01
-5.7150E-02,-5.1144731765E-01
-5.7140E-02,-5.1293786299E-01
-5.7130E-02,-5.1487701771E-01
-5.7120E-02,-5.1582631757E-01
-5.7110E-02,-5.1647430687E-01
-5.7100E-02,-5.1789446914E-01
-5.7090E-02,-5.1880493156E-01
-5.7080E-02,-5.1988188932E-01
-5.7070E-02,-5.1994952104E-01
-5.7060E-02,-5.2026974677E-01
-5.7050E-02,-5.2027037238E-01
-5.7040E-02,-5.2027211665E-01
-5.7030E-02,-5.2027215194E-01
-5.7020E-02,-5.2027217387E-01
-5.7010E-02,-5.2027217387E-01
-5.7000E-02,-5.2027217387E-01
