[],CH2[]
-5.9990E-02,-2.0659592733E-02
-5.9980E-02,-2.1543648866E-02
-5.9970E-02,-2.2595529752E-02
-5.9960E-02,-2.2982451653E-02
-5.9950E-02,-2.4493901539E-02
-5.9940E-02,-2.4749189675E-02
-5.9930E-02,-2.5190176329E-02
-5.9920E-02,-2.6503838921E-02
-5.9910E-02,-2.6937364981E-02
-5.9900E-02,-2.7198430476E-02
-5.9890E-02,-2.7032867838E-02
-5.9880E-02,-2.6617778211E-02
-5.9870E-02,-2.7370724147E-02
-5.9860E-02,-2.7752089941E-02
-5.9850E-02,-2.7809442964E-02
-5.9840E-02,-2.7548960163E-02
-5.9830E-02,-2.7672629794E-02
-5.9820E-02,-2.7982386087E-02
-5.9810E-02,-2.8284372796E-02
-5.9800E-02,-2.8314549914E-02
-5.9790E-02,-2.8541135313E-02
-5.9780E-02,-2.8085936049E-02
-5.9770E-02,-2.8362785809E-02
-5.9760E-02,-2.7911907645E-02
-5.9750E-02,-2.8543004514E-02
-5.9740E-02,-2.7660136659E-02
-5.9730E-02,-2.7917002173E-02
-5.9720E-02,-2.8128192407E-02
-5.9710E-02,-2.8995303654E-02
-5.9700E-02,-2.8690783986E-02
-5.9690E-02,-2.9456388995E-02
-5.9680E-02,-2.9946393558E-02
-5.9670E-02,-2.9370411437E-02
-5.9660E-02,-2.8114654999E-02
-5.9650E-02,-2.8211416707E-02
-5.9640E-02,-2.7928783866E-02
-5.9630E-02,-2.8154276354E-02
-5.9620E-02,-2.7728678189E-02
-5.9610E-02,-2.7665420969E-02
-5.9600E-02,-2.7815897432E-02
-5.9590E-02,-2.7796731438E-02
-5.9580E-02,-2.7485045861E-02
-5.9570E-02,-2.7547520115E-02
-5.9560E-02,-2.7547627880E-02
-5.9550E-02,-2.7221859394E-02
-5.9540E-02,-2.7385590023E-02
-5.9530E-02,-2.7242101132E-02
-5.9520E-02,-2.7306163254E-02
-5.9510E-02,-2.7198666034E-02
-5.9500E-02,-2.6814627090E-02
-5.9490E-02,-2.7146598274E-02
-5.9480E-02,-2.7146598274E-02
-5.9470E-02,-2.7010482240E-02
-5.9460E-02,-2.5727543222E-02
-5.9450E-02,-2.6025140168E-02
-5.9440E-02,-2.5775093426E-02
-5.9430E-02,-2.5901865359E-02
-5.9420E-02,-2.5869012230E-02
-5.9410E-02,-2.6040475251E-02
-5.9400E-02,-2.5346953719E-02
-5.9390E-02,-2.6244695079E-02
-5.9380E-02,-2.7036895205E-02
-5.9370E-02,-2.4923208543E-02
-5.9360E-02,-2.4308501521E-02
-5.9350E-02,-2.4938326189E-02
-5.9340E-02,-2.4935793230E-02
-5.9330E-02,-2.4406163498E-02
-5.9320E-02,-2.4649407680E-02
-5.9310E-02,-2.4667540845E-02
-5.9300E-02,-2.4785956683E-02
-5.9290E-02,-2.5098212557E-02
-5.9280E-02,-2.4802303615E-02
-5.9270E-02,-2.4289768496E-02
-5.9260E-02,-2.3619777924E-02
-5.9250E-02,-2.4339603703E-02
-5.9240E-02,-2.4967244457E-02
