# SCAN started at: 2018-05-22 12:17:47
# Mass_Scan Elen: _70
# ----------------------------------------
# 
38	893	893
38.3	1271	1271
38.6	2211	2211
38.9	2109	2109
39.2	1476	1476
39.5	1257	1257
39.8	1462	1462
40.1	1463	1463
40.4	1338	1338
40.7	1139	1139
41	899	899
41.3	1125	1125
41.6	483	483
41.9	416	416
42.2	504	504
42.5	482	482
42.8	253	253
43.1	301	301
43.4	205	205
43.7	81	81
44	43	43
44.3	71	71
44.6	59	59
44.9	36	36
45.2	33	33
45.5	12	12
45.8	4	4
46.1	10	10
46.4	9	9
46.7	5	5
47	11	11
47.3	4	4
47.6	7	7
47.9	4	4
48.2	15	15
48.5	10	10
48.8	7	7
49.1	5	5
49.4	9	9
49.7	5	5
50	8	8
50.3	8	8
50.6	4	4
50.9	8	8
51.2	12	12
51.5	20	20
51.8	18	18
52.1	22	22
52.4	9	9
52.7	22	22
53	13	13
53.3	30	30
53.6	37	37
53.9	39	39
54.2	39	39
54.5	49	49
54.8	32	32
55.1	49	49
55.4	52	52
55.7	114	114
56	174	174
56.3	316	316
56.6	475	475
56.9	302	302
57.2	274	274
57.5	281	281
57.8	282	282
58.1	354	354
58.4	470	470
58.7	666	666
59	815	815
59.3	570	570
59.6	531	531
59.9	626	626
60.2	784	784
60.5	635	635
60.8	655	655
61.1	492	492
61.4	481	481
61.7	246	246
62	208	208
62.3	322	322
62.6	201	201
62.9	147	147
63.2	181	181
63.5	82	82
63.8	66	66
64.1	48	48
64.4	39	39
64.7	40	40
65	20	20
65.3	38	38
65.6	15	15
65.9	20	20
66.2	15	15
66.5	12	12
66.8	13	13
67.1	17	17
67.4	22	22
67.7	23	23
68	12	12
68.3	7	7
68.6	13	13
68.9	9	9
69.2	14	14
69.5	23	23
69.8	20	20
70.1	10	10
70.4	18	18
70.7	8	8
71	9	9
71.3	9	9
71.6	6	6
71.9	9	9
72.2	8	8
72.5	10	10
72.8	2	2
73.1	11	11
73.4	2	2
73.7	4	4
74	6	6
74.3	6	6
74.6	7	7
74.9	2	2
75.2	6	6
75.5	19	19
75.8	32	32
76.1	40	40
76.4	62	62
76.7	83	83
77	110	110
77.3	86	86
77.6	72	72
77.9	109	109
78.2	136	136
78.5	289	289
78.8	360	360
79.1	223	223
79.4	156	156
79.7	149	149
80	169	169
80.3	226	226
80.6	239	239
80.9	160	160
81.2	164	164
81.5	129	129
81.8	100	100
82.1	83	83
82.4	159	159
82.7	84	84
83	68	68
83.3	92	92
83.6	37	37
83.9	19	19
84.2	30	30
84.5	23	23
84.8	14	14
85.1	16	16
85.4	19	19
85.7	5	5
86	1	1
86.3	4	4
86.6	9	9
86.9	5	5
87.2	7	7
87.5	6	6
87.8	8	8
88.1	1	1
88.4	3	3
88.7	3	3
89	5	5
89.3	3	3
89.6	3	3
89.9	5	5
90.2	6	6
90.5	6	6
90.8	2	2
91.1	2	2
91.4	7	7
91.7	3	3
92	3	3
92.3	3	3
92.6	1	1
92.9	4	4
93.2	0	0
93.5	2	2
93.8	1	1
94.1	8	8
94.4	4	4
94.7	5	5
95	5	5
95.3	11	11
95.6	7	7
95.9	13	13
96.2	29	29
96.5	69	69
96.8	98	98
97.1	83	83
97.4	63	63
97.7	85	85
98	80	80
98.3	116	116
98.6	175	175
98.9	170	170
99.2	108	108
99.5	131	131
99.8	110	110
100.1	159	159
100.4	236	236
100.7	211	211
101	149	149
101.3	151	151
101.6	81	81
101.9	58	58
102.2	96	96
102.5	123	123
102.8	90	90
103.1	60	60
103.4	69	69
