# SCAN started at: 2018-05-22 11:20:49
# Mass_Scan Elen: _70
# ----------------------------------------
# 
25	5	5
25.1	9	9
25.2	6	6
25.3	8	8
25.4	10	10
25.5	8	8
25.6	8	8
25.7	5	5
25.8	7	7
25.9	11	11
26	11	11
26.1	13	13
26.2	18	18
26.3	24	24
26.4	25	25
26.5	14	14
26.6	21	21
26.7	20	20
26.8	23	23
26.9	26	26
27	28	28
27.1	38	38
27.2	39	39
27.3	60	60
27.4	62	62
27.5	76	76
27.6	64	64
27.7	43	43
27.8	40	40
27.9	50	50
28	60	60
28.1	57	57
28.2	70	70
28.3	87	87
28.4	85	85
28.5	106	106
28.6	144	144
28.7	124	124
28.8	71	71
28.9	31	31
29	25	25
29.1	27	27
29.2	24	24
29.3	23	23
29.4	18	18
29.5	39	39
29.6	20	20
29.7	39	39
29.8	21	21
29.9	14	14
30	6	6
30.1	8	8
30.2	4	4
30.3	5	5
30.4	2	2
30.5	7	7
30.6	6	6
30.7	5	5
30.8	1	1
30.9	4	4
31	2	2
31.1	8	8
31.2	5	5
31.3	9	9
31.4	15	15
31.5	17	17
31.6	21	21
31.7	21	21
31.8	20	20
31.9	32	32
32	21	21
32.1	21	21
32.2	19	19
32.3	31	31
32.4	39	39
32.5	56	56
32.6	28	28
32.7	25	25
32.8	6	6
32.9	13	13
33	3	3
33.1	4	4
33.2	3	3
33.3	3	3
33.4	5	5
33.5	4	4
33.6	2	2
33.7	2	2
33.8	0	0
33.9	1	1
34	2	2
34.1	4	4
34.2	5	5
34.3	1	1
34.4	6	6
34.5	5	5
34.6	2	2
34.7	1	1
34.8	4	4
34.9	4	4
35	7	7
35.1	3	3
35.2	1	1
35.3	0	0
35.4	5	5
35.5	1	1
35.6	6	6
35.7	4	4
35.8	8	8
35.9	8	8
36	7	7
36.1	5	5
36.2	8	8
36.3	12	12
36.4	4	4
36.5	4	4
36.6	9	9
36.7	5	5
36.8	6	6
36.9	8	8
37	9	9
37.1	6	6
37.2	10	10
37.3	11	11
37.4	13	13
37.5	24	24
37.6	16	16
37.7	20	20
37.8	26	26
37.9	23	23
38	43	43
38.1	49	49
38.2	56	56
38.3	52	52
38.4	30	30
38.5	56	56
38.6	40	40
38.7	40	40
38.8	44	44
38.9	52	52
39	56	56
39.1	81	81
39.2	95	95
39.3	143	143
39.4	153	153
39.5	147	147
39.6	195	195
39.7	154	154
39.8	184	184
39.9	190	190
40	204	204
40.1	222	222
40.2	270	270
40.3	271	271
40.4	348	348
40.5	596	596
40.6	541	541
40.7	320	320
40.8	157	157
40.9	101	101
41	68	68
41.1	67	67
41.2	55	55
41.3	39	39
41.4	60	60
41.5	63	63
41.6	89	89
41.7	86	86
41.8	71	71
41.9	92	92
42	81	81
42.1	78	78
42.2	83	83
42.3	101	101
42.4	134	134
42.5	146	146
42.6	123	123
42.7	66	66
42.8	46	46
42.9	45	45
43	20	20
43.1	14	14
43.2	11	11
43.3	16	16
43.4	16	16
43.5	20	20
43.6	32	32
43.7	21	21
43.8	15	15
43.9	15	15
44	12	12
44.1	10	10
44.2	7	7
44.3	10	10
44.4	8	8
44.5	8	8
44.6	13	13
44.7	10	10
44.8	5	5
44.9	3	3
45	3	3
45.1	4	4
45.2	0	0
45.3	0	0
45.4	1	1
45.5	1	1
45.6	4	4
45.7	2	2
45.8	1	1
45.9	1	1
46	1	1
46.1	0	0
46.2	1	1
46.3	1	1
46.4	0	0
46.5	1	1
46.6	0	0
46.7	0	0
46.8	1	1
46.9	0	0
47	0	0
47.1	2	2
47.2	0	0
47.3	0	0
47.4	0	0
47.5	1	1
47.6	2	2
47.7	0	0
47.8	1	1
47.9	0	0
48	0	0
48.1	0	0
48.2	0	0
48.3	1	1
48.4	1	1
48.5	3	3
48.6	2	2
48.7	1	1
48.8	2	2
48.9	1	1
49	0	0
49.1	0	0
49.2	0	0
49.3	2	2
49.4	0	0
49.5	4	4
49.6	0	0
49.7	0	0
49.8	0	0
49.9	1	1
50	1	1
50.1	1	1
50.2	1	1
50.3	1	1
50.4	0	0
50.5	0	0
50.6	2	2
50.7	2	2
50.8	1	1
50.9	0	0
51	0	0
51.1	0	0
51.2	0	0
51.3	0	0
51.4	0	0
51.5	0	0
51.6	0	0
51.7	1	1
51.8	1	1
51.9	0	0
52	0	0
52.1	0	0
52.2	0	0
52.3	0	0
52.4	0	0
52.5	1	1
52.6	0	0
52.7	1	1
52.8	1	1
52.9	0	0
53	1	1
53.1	0	0
53.2	0	0
53.3	0	0
53.4	0	0
53.5	0	0
53.6	0	0
53.7	1	1
53.8	1	1
53.9	0	0
54	0	0
54.1	2	2
54.2	0	0
54.3	3	3
54.4	0	0
54.5	2	2
54.6	6	6
54.7	2	2
54.8	1	1
54.9	1	1
55	4	4
55.1	1	1
55.2	11	11
55.3	1	1
55.4	1	1
55.5	10	10
55.6	4	4
55.7	9	9
55.8	3	3
55.9	4	4
56	2	2
56.1	3	3
56.2	1	1
56.3	0	0
56.4	4	4
56.5	4	4
56.6	3	3
56.7	6	6
56.8	5	5
56.9	3	3
57	5	5
57.1	4	4
57.2	7	7
57.3	2	2
57.4	6	6
57.5	2	2
57.6	5	5
57.7	7	7
57.8	8	8
57.9	4	4
58	11	11
58.1	9	9
58.2	10	10
58.3	13	13
58.4	7	7
58.5	14	14
58.6	20	20
58.7	12	12
58.8	21	21
58.9	12	12
59	14	14
59.1	24	24
59.2	35	35
59.3	27	27
59.4	44	44
59.5	74	74
59.6	92	92
59.7	83	83
59.8	67	67
59.9	82	82
60	92	92
60.1	97	97
60.2	100	100
60.3	109	109
60.4	163	163
60.5	191	191
60.6	173	173
60.7	146	146
60.8	96	96
60.9	59	59
61	46	46
61.1	19	19
61.2	21	21
61.3	29	29
61.4	27	27
61.5	31	31
61.6	29	29
61.7	28	28
61.8	25	25
61.9	24	24
62	33	33
62.1	29	29
62.2	35	35
62.3	42	42
62.4	46	46
62.5	85	85
62.6	96	96
62.7	89	89
62.8	30	30
62.9	16	16
63	23	23
63.1	7	7
63.2	9	9
63.3	11	11
63.4	4	4
63.5	2	2
63.6	7	7
63.7	3	3
63.8	5	5
63.9	1	1
64	1	1
64.1	4	4
64.2	7	7
64.3	12	12
64.4	7	7
64.5	12	12
64.6	20	20
64.7	13	13
64.8	2	2
64.9	3	3
65	1	1
65.1	8	8
65.2	0	0
65.3	5	5
65.4	3	3
65.5	2	2
65.6	3	3
65.7	1	1
65.8	0	0
65.9	1	1
66	0	0
66.1	2	2
66.2	1	1
66.3	3	3
66.4	2	2
66.5	3	3
66.6	0	0
66.7	1	1
66.8	3	3
66.9	2	2
67	0	0
67.1	1	1
67.2	1	1
67.3	1	1
67.4	1	1
67.5	2	2
67.6	1	1
67.7	4	4
67.8	1	1
67.9	2	2
68	1	1
68.1	0	0
68.2	1	1
68.3	1	1
68.4	0	0
68.5	2	2
68.6	0	0
68.7	1	1
68.8	1	1
68.9	3	3
69	0	0
69.1	1	1
69.2	3	3
69.3	4	4
69.4	2	2
69.5	4	4
69.6	4	4
69.7	9	9
69.8	2	2
69.9	0	0
70	3	3
70.1	0	0
70.2	0	0
70.3	0	0
70.4	1	1
70.5	0	0
70.6	0	0
70.7	1	1
70.8	3	3
70.9	0	0
71	0	0
71.1	1	1
71.2	0	0
71.3	0	0
71.4	0	0
71.5	2	2
71.6	4	4
71.7	3	3
71.8	2	2
71.9	1	1
72	0	0
72.1	0	0
72.2	0	0
72.3	0	0
72.4	0	0
72.5	1	1
72.6	0	0
72.7	0	0
72.8	0	0
72.9	0	0
73	1	1
73.1	0	0
73.2	2	2
73.3	0	0
73.4	0	0
73.5	0	0
73.6	1	1
73.7	0	0
73.8	0	0
73.9	0	0
74	0	0
74.1	0	0
74.2	0	0
74.3	0	0
74.4	0	0
74.5	0	0
74.6	0	0
74.7	1	1
74.8	2	2
74.9	0	0
75	0	0
75.1	0	0
75.2	0	0
75.3	0	0
75.4	0	0
75.5	0	0
75.6	0	0
75.7	0	0
75.8	1	1
75.9	0	0
76	1	1
76.1	0	0
76.2	0	0
76.3	0	0
76.4	1	1
76.5	0	0
76.6	1	1
76.7	1	1
76.8	1	1
76.9	1	1
77	2	2
77.1	1	1
77.2	0	0
77.3	1	1
77.4	2	2
77.5	5	5
77.6	5	5
77.7	2	2
77.8	2	2
77.9	2	2
78	3	3
78.1	6	6
78.2	2	2
78.3	3	3
78.4	3	3
