[],CH1[]
-8.1790E-02,2.1087036197E-02
-8.1780E-02,1.7414064705E-02
-8.1770E-02,1.5647219926E-02
-8.1760E-02,1.3939538970E-02
-8.1750E-02,1.3336738780E-02
-8.1740E-02,1.1988372734E-02
-8.1730E-02,1.0583729980E-02
-8.1720E-02,7.5866263106E-03
-8.1710E-02,5.4851095677E-03
-8.1700E-02,4.2285994553E-03
-8.1690E-02,2.0691717885E-03
-8.1680E-02,1.5082205098E-03
-8.1670E-02,-7.9684178190E-04
-8.1660E-02,-2.7353078217E-03
-8.1650E-02,-5.1776520765E-03
-8.1640E-02,-7.4552284040E-03
-8.1630E-02,-8.3219052632E-03
-8.1620E-02,-9.7105741999E-03
-8.1610E-02,-1.1726940484E-02
-8.1600E-02,-1.4245859452E-02
-8.1590E-02,-1.6250791409E-02
-8.1580E-02,-1.7924493634E-02
-8.1570E-02,-2.0171188458E-02
-8.1560E-02,-2.1717829057E-02
-8.1550E-02,-2.2705567633E-02
-8.1540E-02,-2.4427071985E-02
-8.1530E-02,-2.6728238097E-02
-8.1520E-02,-2.8649651218E-02
-8.1510E-02,-2.9782505620E-02
-8.1500E-02,-3.1403905136E-02
-8.1490E-02,-3.2685634061E-02
-8.1480E-02,-3.5273610347E-02
-8.1470E-02,-3.8436903452E-02
-8.1460E-02,-3.8858928175E-02
-8.1450E-02,-4.1917289021E-02
-8.1440E-02,-4.1525992755E-02
-8.1430E-02,-4.4366515143E-02
-8.1420E-02,-4.5727809657E-02
-8.1410E-02,-4.8617068011E-02
-8.1400E-02,-4.9692820815E-02
-8.1390E-02,-5.1413886782E-02
-8.1380E-02,-5.2708930681E-02
-8.1370E-02,-5.6328608558E-02
-8.1360E-02,-5.6691171149E-02
-8.1350E-02,-6.1012389611E-02
-8.1340E-02,-6.2070975361E-02
-8.1330E-02,-6.2986325930E-02
-8.1320E-02,-6.4830476929E-02
-8.1310E-02,-6.5112472649E-02
-8.1300E-02,-6.7637518632E-02
-8.1290E-02,-7.1600213353E-02
-8.1280E-02,-7.1859332637E-02
-8.1270E-02,-7.4851876064E-02
-8.1260E-02,-7.4566757174E-02
-8.1250E-02,-7.6978502672E-02
-8.1240E-02,-7.8442664626E-02
-8.1230E-02,-8.1811287948E-02
-8.1220E-02,-8.4237305603E-02
-8.1210E-02,-8.6025856927E-02
-8.1200E-02,-8.6565049781E-02
-8.1190E-02,-8.9820678709E-02
-8.1180E-02,-9.1116560468E-02
-8.1170E-02,-9.3630628667E-02
-8.1160E-02,-9.6307249522E-02
-8.1150E-02,-9.6633470251E-02
-8.1140E-02,-9.9771298114E-02
-8.1130E-02,-1.0001747077E-01
-8.1120E-02,-1.0266976515E-01
-8.1110E-02,-1.0430558987E-01
-8.1100E-02,-1.0709396000E-01
-8.1090E-02,-1.0952148476E-01
-8.1080E-02,-1.1074728717E-01
-8.1070E-02,-1.1070422168E-01
-8.1060E-02,-1.1356408489E-01
-8.1050E-02,-1.1641101703E-01
-8.1040E-02,-1.1789911377E-01
-8.1030E-02,-1.1882833184E-01
-8.1020E-02,-1.1996404741E-01
-8.1010E-02,-1.2310679090E-01
-8.1000E-02,-1.2698392012E-01
-8.0990E-02,-1.2874631879E-01
-8.0980E-02,-1.2853027797E-01
-8.0970E-02,-1.3034962260E-01
-8.0960E-02,-1.3383479150E-01
-8.0950E-02,-1.3373253105E-01
-8.0940E-02,-1.3691442569E-01
-8.0930E-02,-1.3784348033E-01
-8.0920E-02,-1.3984932278E-01
-8.0910E-02,-1.4168043637E-01
-8.0900E-02,-1.4279202261E-01
-8.0890E-02,-1.4707603541E-01
-8.0880E-02,-1.4871993264E-01
-8.0870E-02,-1.5085004298E-01
-8.0860E-02,-1.5102521283E-01
-8.0850E-02,-1.5340190049E-01
-8.0840E-02,-1.5346135743E-01
-8.0830E-02,-1.5658124004E-01
-8.0820E-02,-1.5957726721E-01
-8.0810E-02,-1.6043927747E-01
-8.0800E-02,-1.6136416616E-01
-8.0790E-02,-1.6408622341E-01
-8.0780E-02,-1.6506265996E-01
-8.0770E-02,-1.6706711462E-01
-8.0760E-02,-1.7177420790E-01
-8.0750E-02,-1.7169634916E-01
-8.0740E-02,-1.7225098666E-01
-8.0730E-02,-1.7504829050E-01
-8.0720E-02,-1.7682039331E-01
-8.0710E-02,-1.7786701815E-01
-8.0700E-02,-1.8059138666E-01
-8.0690E-02,-1.8288978239E-01
-8.0680E-02,-1.8454502834E-01
-8.0670E-02,-1.8662697080E-01
-8.0660E-02,-1.8761075094E-01
-8.0650E-02,-1.9032028440E-01
-8.0640E-02,-1.9215897244E-01
-8.0630E-02,-1.9388191387E-01
-8.0620E-02,-1.9520625693E-01
-8.0610E-02,-1.9745550425E-01
-8.0600E-02,-1.9959320462E-01
-8.0590E-02,-2.0081713676E-01
-8.0580E-02,-2.0400698458E-01
-8.0570E-02,-2.0437725652E-01
-8.0560E-02,-2.0677246790E-01
-8.0550E-02,-2.0870143473E-01
-8.0540E-02,-2.1047489420E-01
-8.0530E-02,-2.1079409299E-01
-8.0520E-02,-2.1354113041E-01
-8.0510E-02,-2.1559931188E-01
-8.0500E-02,-2.1705821062E-01
-8.0490E-02,-2.1848823821E-01
-8.0480E-02,-2.2129706458E-01
-8.0470E-02,-2.2321188117E-01
-8.0460E-02,-2.2502569800E-01
-8.0450E-02,-2.2737333552E-01
-8.0440E-02,-2.2816281251E-01
-8.0430E-02,-2.3097070245E-01
-8.0420E-02,-2.3213060184E-01
-8.0410E-02,-2.3358737610E-01
-8.0400E-02,-2.3608663000E-01
-8.0390E-02,-2.3686085171E-01
-8.0380E-02,-2.3829625405E-01
-8.0370E-02,-2.4034660166E-01
-8.0360E-02,-2.4300158601E-01
-8.0350E-02,-2.4399132455E-01
-8.0340E-02,-2.4639835157E-01
-8.0330E-02,-2.4835114943E-01
-8.0320E-02,-2.4945104713E-01
-8.0310E-02,-2.5299778448E-01
-8.0300E-02,-2.5486630865E-01
-8.0290E-02,-2.5654055562E-01
-8.0280E-02,-2.5850909383E-01
-8.0270E-02,-2.6013962940E-01
-8.0260E-02,-2.6100320125E-01
-8.0250E-02,-2.6286276835E-01
-8.0240E-02,-2.6508863340E-01
-8.0230E-02,-2.6769754322E-01
-8.0220E-02,-2.6865155728E-01
-8.0210E-02,-2.6901724304E-01
-8.0200E-02,-2.7126321673E-01
-8.0190E-02,-2.7522830571E-01
-8.0180E-02,-2.7622388593E-01
-8.0170E-02,-2.7768909586E-01
-8.0160E-02,-2.8138948847E-01
-8.0150E-02,-2.8233966341E-01
-8.0140E-02,-2.8374615568E-01
-8.0130E-02,-2.8524119654E-01
-8.0120E-02,-2.8711158580E-01
-8.0110E-02,-2.8882943002E-01
-8.0100E-02,-2.9144656280E-01
-8.0090E-02,-2.9293908749E-01
-8.0080E-02,-2.9410532141E-01
-8.0070E-02,-2.9576217824E-01
-8.0060E-02,-2.9712104477E-01
-8.0050E-02,-3.0053390608E-01
-8.0040E-02,-3.0197156519E-01
-8.0030E-02,-3.0453072739E-01
-8.0020E-02,-3.0521209188E-01
-8.0010E-02,-3.0648847977E-01
-8.0000E-02,-3.0957118526E-01
-7.9990E-02,-3.1107338814E-01
-7.9980E-02,-3.1363074232E-01
-7.9970E-02,-3.1417192477E-01
-7.9960E-02,-3.1649732916E-01
-7.9950E-02,-3.1810033985E-01
-7.9940E-02,-3.2042015160E-01
-7.9930E-02,-3.2229660302E-01
-7.9920E-02,-3.2453124355E-01
-7.9910E-02,-3.2491180327E-01
-7.9900E-02,-3.2573835363E-01
-7.9890E-02,-3.2925897205E-01
-7.9880E-02,-3.3014484966E-01
-7.9870E-02,-3.3370933512E-01
-7.9860E-02,-3.3514932105E-01
-7.9850E-02,-3.3709748344E-01
-7.9840E-02,-3.3791018965E-01
-7.9830E-02,-3.4072969549E-01
-7.9820E-02,-3.4208624559E-01
-7.9810E-02,-3.4367916046E-01
-7.9800E-02,-3.4599426670E-01
-7.9790E-02,-3.4685623545E-01
-7.9780E-02,-3.4879947704E-01
-7.9770E-02,-3.5067493496E-01
-7.9760E-02,-3.5222134209E-01
-7.9750E-02,-3.5599689828E-01
-7.9740E-02,-3.5782536858E-01
-7.9730E-02,-3.5770890083E-01
-7.9720E-02,-3.5926961385E-01
-7.9710E-02,-3.6104938191E-01
-7.9700E-02,-3.6350693475E-01
-7.9690E-02,-3.6428936127E-01
-7.9680E-02,-3.6683894644E-01
-7.9670E-02,-3.6876740485E-01
-7.9660E-02,-3.6915485422E-01
-7.9650E-02,-3.7278619729E-01
-7.9640E-02,-3.7345818450E-01
-7.9630E-02,-3.7562002717E-01
-7.9620E-02,-3.7766271472E-01
-7.9610E-02,-3.7983315389E-01
-7.9600E-02,-3.8013692101E-01
-7.9590E-02,-3.8101899063E-01
-7.9580E-02,-3.8429059856E-01
-7.9570E-02,-3.8678659699E-01
-7.9560E-02,-3.8821010587E-01
-7.9550E-02,-3.8989743953E-01
-7.9540E-02,-3.9135896340E-01
-7.9530E-02,-3.9209029341E-01
-7.9520E-02,-3.9719855570E-01
-7.9510E-02,-3.9680238532E-01
-7.9500E-02,-3.9914950923E-01
-7.9490E-02,-4.0126549009E-01
-7.9480E-02,-4.0253108437E-01
-7.9470E-02,-4.0367933931E-01
-7.9460E-02,-4.0419976980E-01
-7.9450E-02,-4.0637888589E-01
-7.9440E-02,-4.0774206105E-01
-7.9430E-02,-4.1053578259E-01
-7.9420E-02,-4.1080587706E-01
-7.9410E-02,-4.1223028606E-01
-7.9400E-02,-4.1418937435E-01
-7.9390E-02,-4.1581587107E-01
-7.9380E-02,-4.1859948122E-01
-7.9370E-02,-4.2112765815E-01
-7.9360E-02,-4.2297794395E-01
-7.9350E-02,-4.2349645229E-01
-7.9340E-02,-4.2481984855E-01
-7.9330E-02,-4.2633467899E-01
-7.9320E-02,-4.2903464580E-01
-7.9310E-02,-4.3061339486E-01
-7.9300E-02,-4.3288409191E-01
-7.9290E-02,-4.3546520968E-01
-7.9280E-02,-4.3625230020E-01
-7.9270E-02,-4.3885325683E-01
-7.9260E-02,-4.4055046064E-01
-7.9250E-02,-4.4214383724E-01
-7.9240E-02,-4.4475108950E-01
-7.9230E-02,-4.4511289723E-01
-7.9220E-02,-4.4669262423E-01
-7.9210E-02,-4.4817641235E-01
-7.9200E-02,-4.5057457569E-01
-7.9190E-02,-4.5197573471E-01
-7.9180E-02,-4.5544737852E-01
-7.9170E-02,-4.5637406484E-01
-7.9160E-02,-4.5762137665E-01
-7.9150E-02,-4.5835944586E-01
-7.9140E-02,-4.6306349898E-01
-7.9130E-02,-4.6165529727E-01
-7.9120E-02,-4.6397386389E-01
-7.9110E-02,-4.6723386111E-01
-7.9100E-02,-4.6842922559E-01
-7.9090E-02,-4.6913048343E-01
-7.9080E-02,-4.7037878095E-01
-7.9070E-02,-4.7428482284E-01
-7.9060E-02,-4.7570027995E-01
-7.9050E-02,-4.7799429961E-01
-7.9040E-02,-4.7885436178E-01
-7.9030E-02,-4.8094463875E-01
-7.9020E-02,-4.8243555775E-01
-7.9010E-02,-4.8481449441E-01
-7.9000E-02,-4.8804117177E-01
-7.8990E-02,-4.8838060112E-01
-7.8980E-02,-4.9038644357E-01
-7.8970E-02,-4.9193113608E-01
-7.8960E-02,-4.9460580625E-01
-7.8950E-02,-4.9515805986E-01
-7.8940E-02,-4.9774021263E-01
-7.8930E-02,-4.9898068408E-01
-7.8920E-02,-5.0062083039E-01
-7.8910E-02,-5.0206918454E-01
-7.8900E-02,-5.0387412213E-01
-7.8890E-02,-5.0643923754E-01
-7.8880E-02,-5.0723220086E-01
-7.8870E-02,-5.1022902698E-01
-7.8860E-02,-5.0971447707E-01
-7.8850E-02,-5.1257672416E-01
-7.8840E-02,-5.1431118551E-01
-7.8830E-02,-5.1655011132E-01
-7.8820E-02,-5.1891269025E-01
-7.8810E-02,-5.2051694606E-01
-7.8800E-02,-5.2218189355E-01
-7.8790E-02,-5.2219026178E-01
-7.8780E-02,-5.2584010003E-01
-7.8770E-02,-5.2671616196E-01
-7.8760E-02,-5.2936731238E-01
-7.8750E-02,-5.3108766241E-01
-7.8740E-02,-5.3316766716E-01
-7.8730E-02,-5.3381713849E-01
-7.8720E-02,-5.3664118383E-01
-7.8710E-02,-5.3796698212E-01
-7.8700E-02,-5.3957358290E-01
-7.8690E-02,-5.4279648859E-01
-7.8680E-02,-5.4337710494E-01
-7.8670E-02,-5.4636317376E-01
-7.8660E-02,-5.4631099037E-01
-7.8650E-02,-5.4738753953E-01
-7.8640E-02,-5.5040648982E-01
-7.8630E-02,-5.5201447061E-01
-7.8620E-02,-5.5439632551E-01
-7.8610E-02,-5.5643084456E-01
-7.8600E-02,-5.5629158857E-01
-7.8590E-02,-5.5819469328E-01
-7.8580E-02,-5.6167674679E-01
-7.8570E-02,-5.6454955662E-01
-7.8560E-02,-5.6584623474E-01
-7.8550E-02,-5.6644105580E-01
-7.8540E-02,-5.6754525435E-01
-7.8530E-02,-5.7105061749E-01
-7.8520E-02,-5.7233870689E-01
-7.8510E-02,-5.7480368115E-01
-7.8500E-02,-5.7496883818E-01
-7.8490E-02,-5.7701664108E-01
-7.8480E-02,-5.7878052352E-01
-7.8470E-02,-5.8035473568E-01
-7.8460E-02,-5.8225639813E-01
-7.8450E-02,-5.8462329346E-01
-7.8440E-02,-5.8621524336E-01
-7.8430E-02,-5.8814990920E-01
-7.8420E-02,-5.9014503586E-01
-7.8410E-02,-5.9103028053E-01
-7.8400E-02,-5.9335127254E-01
-7.8390E-02,-5.9540870694E-01
-7.8380E-02,-5.9590110154E-01
-7.8370E-02,-5.9863541543E-01
-7.8360E-02,-5.9974896014E-01
-7.8350E-02,-6.0233584435E-01
-7.8340E-02,-6.0506418945E-01
-7.8330E-02,-6.0580821188E-01
-7.8320E-02,-6.0725499926E-01
-7.8310E-02,-6.0905901598E-01
-7.8300E-02,-6.1092891497E-01
-7.8290E-02,-6.1425558303E-01
-7.8280E-02,-6.1413564710E-01
-7.8270E-02,-6.1886896826E-01
-7.8260E-02,-6.1825251588E-01
-7.8250E-02,-6.2034640887E-01
-7.8240E-02,-6.2171122084E-01
-7.8230E-02,-6.2323897197E-01
-7.8220E-02,-6.2619244466E-01
-7.8210E-02,-6.2820353216E-01
-7.8200E-02,-6.2994198049E-01
-7.8190E-02,-6.3067396419E-01
-7.8180E-02,-6.3310099350E-01
-7.8170E-02,-6.3417092798E-01
-7.8160E-02,-6.3662664427E-01
-7.8150E-02,-6.3770491325E-01
-7.8140E-02,-6.4003544078E-01
-7.8130E-02,-6.4273828173E-01
-7.8120E-02,-6.4472410373E-01
-7.8110E-02,-6.4614462433E-01
-7.8100E-02,-6.4665904713E-01
-7.8090E-02,-6.4926558604E-01
-7.8080E-02,-6.5009199114E-01
-7.8070E-02,-6.5277365472E-01
-7.8060E-02,-6.5388254839E-01
-7.8050E-02,-6.5426044668E-01
-7.8040E-02,-6.5712438505E-01
-7.8030E-02,-6.5912232619E-01
-7.8020E-02,-6.6103640869E-01
-7.8010E-02,-6.6268862486E-01
-7.8000E-02,-6.6538676549E-01
-7.7990E-02,-6.6565476401E-01
-7.7980E-02,-6.6792974635E-01
-7.7970E-02,-6.7067987581E-01
-7.7960E-02,-6.7234522797E-01
-7.7950E-02,-6.7458209675E-01
-7.7940E-02,-6.7565617124E-01
-7.7930E-02,-6.7740793972E-01
-7.7920E-02,-6.7946311216E-01
-7.7910E-02,-6.8107071681E-01
-7.7900E-02,-6.8235473624E-01
-7.7890E-02,-6.8590844624E-01
-7.7880E-02,-6.8729648743E-01
-7.7870E-02,-6.8949618686E-01
-7.7860E-02,-6.9062018018E-01
-7.7850E-02,-6.9265093276E-01
-7.7840E-02,-6.9341142186E-01
-7.7830E-02,-6.9424583203E-01
-7.7820E-02,-6.9784203944E-01
-7.7810E-02,-6.9876257281E-01
-7.7800E-02,-7.0068046848E-01
-7.7790E-02,-7.0138759912E-01
-7.7780E-02,-7.0414278428E-01
-7.7770E-02,-7.0730066113E-01
-7.7760E-02,-7.0798806704E-01
-7.7750E-02,-7.0932891569E-01
-7.7740E-02,-7.1154430878E-01
-7.7730E-02,-7.1499833937E-01
-7.7720E-02,-7.1668166790E-01
-7.7710E-02,-7.1768427785E-01
-7.7700E-02,-7.1872240217E-01
-7.7690E-02,-7.2056372831E-01
-7.7680E-02,-7.2214419200E-01
-7.7670E-02,-7.2410809475E-01
-7.7660E-02,-7.2637807846E-01
-7.7650E-02,-7.2755711115E-01
