[],CH2[]
-8.1790E-02,7.0547350478E-02
-8.1780E-02,7.0618600443E-02
-8.1770E-02,7.0864542571E-02
-8.1760E-02,7.0654039936E-02
-8.1750E-02,7.0827018345E-02
-8.1740E-02,7.1109450915E-02
-8.1730E-02,7.1473377820E-02
-8.1720E-02,7.1018237684E-02
-8.1710E-02,7.1100628473E-02
-8.1700E-02,7.0698982794E-02
-8.1690E-02,7.0769193254E-02
-8.1680E-02,7.1532486557E-02
-8.1670E-02,7.1436671847E-02
-8.1660E-02,7.1076555825E-02
-8.1650E-02,7.1039753532E-02
-8.1640E-02,7.1315178502E-02
-8.1630E-02,7.1316952336E-02
-8.1620E-02,7.0934680551E-02
-8.1610E-02,7.0939684481E-02
-8.1600E-02,7.1478541966E-02
-8.1590E-02,7.1075337029E-02
-8.1580E-02,7.1143320660E-02
-8.1570E-02,7.0440226144E-02
-8.1560E-02,7.0688732702E-02
-8.1550E-02,7.0644591884E-02
-8.1540E-02,7.0690507490E-02
-8.1530E-02,7.0228976783E-02
-8.1520E-02,7.0691909391E-02
-8.1510E-02,7.0790796839E-02
-8.1500E-02,7.0441294259E-02
-8.1490E-02,7.0216136511E-02
-8.1480E-02,7.0814919079E-02
-8.1470E-02,7.0962243648E-02
-8.1460E-02,7.0270780145E-02
-8.1450E-02,7.0725951751E-02
-8.1440E-02,7.0689571935E-02
-8.1430E-02,7.0720752319E-02
-8.1420E-02,7.0277156411E-02
-8.1410E-02,7.0801785075E-02
-8.1400E-02,6.9998199031E-02
-8.1390E-02,7.0262775002E-02
-8.1380E-02,7.0650826053E-02
-8.1370E-02,7.0708210547E-02
-8.1360E-02,7.0282762109E-02
-8.1350E-02,7.0332572521E-02
-8.1340E-02,7.1246801004E-02
-8.1330E-02,7.0572685791E-02
-8.1320E-02,7.0930152506E-02
-8.1310E-02,7.0880996314E-02
-8.1300E-02,7.0984639737E-02
-8.1290E-02,7.0946999163E-02
-8.1280E-02,7.0806998813E-02
-8.1270E-02,6.9652090578E-02
-8.1260E-02,7.0350923123E-02
-8.1250E-02,7.0539185118E-02
-8.1240E-02,7.0920934289E-02
-8.1230E-02,7.0837184514E-02
-8.1220E-02,7.0249288139E-02
-8.1210E-02,7.0808999622E-02
-8.1200E-02,6.9833989658E-02
-8.1190E-02,7.0561503005E-02
-8.1180E-02,7.0792130076E-02
-8.1170E-02,7.1341160406E-02
-8.1160E-02,7.1148018460E-02
-8.1150E-02,7.0846574392E-02
-8.1140E-02,7.0449530191E-02
-8.1130E-02,7.0212899740E-02
-8.1120E-02,7.0654512959E-02
-8.1110E-02,7.0900378792E-02
-8.1100E-02,7.0507707188E-02
-8.1090E-02,7.0834535207E-02
-8.1080E-02,7.1311643231E-02
-8.1070E-02,7.0240449485E-02
-8.1060E-02,7.0390821998E-02
-8.1050E-02,7.0546783042E-02
-8.1040E-02,7.0423412865E-02
-8.1030E-02,7.0109890511E-02
-8.1020E-02,7.0659996586E-02
-8.1010E-02,7.0478524753E-02
-8.1000E-02,7.1246591196E-02
-8.0990E-02,7.0846994009E-02
-8.0980E-02,7.0546347212E-02
-8.0970E-02,7.0321238101E-02
-8.0960E-02,7.0261967240E-02
-8.0950E-02,7.0653077679E-02
-8.0940E-02,7.0700493414E-02
-8.0930E-02,7.0921584695E-02
-8.0920E-02,7.1040709113E-02
-8.0910E-02,7.0772956453E-02
-8.0900E-02,7.1145243267E-02
-8.0890E-02,7.0847411718E-02
-8.0880E-02,7.1126100162E-02
-8.0870E-02,7.0546077323E-02
-8.0860E-02,7.0332645954E-02
-8.0850E-02,7.0366659704E-02
-8.0840E-02,7.0404861038E-02
-8.0830E-02,7.0912901490E-02
-8.0820E-02,7.0477408954E-02
-8.0810E-02,7.0180697972E-02
-8.0800E-02,7.0576091362E-02
-8.0790E-02,7.0550950599E-02
-8.0780E-02,6.9964929147E-02
-8.0770E-02,7.0313849032E-02
-8.0760E-02,7.0332702221E-02
-8.0750E-02,7.0044695425E-02
-8.0740E-02,7.0597912385E-02
-8.0730E-02,7.0060231734E-02
-8.0720E-02,7.0653354244E-02
-8.0710E-02,7.0455641337E-02
-8.0700E-02,6.9302870286E-02
-8.0690E-02,6.9978528544E-02
-8.0680E-02,7.0120887330E-02
-8.0670E-02,7.0728484710E-02
-8.0660E-02,7.0578329636E-02
-8.0650E-02,7.1259109125E-02
-8.0640E-02,7.1435885066E-02
-8.0630E-02,7.0560956550E-02
-8.0620E-02,7.0926759332E-02
-8.0610E-02,7.0270213662E-02
-8.0600E-02,7.0686910230E-02
-8.0590E-02,7.0588944985E-02
-8.0580E-02,7.0708588202E-02
-8.0570E-02,7.0702959616E-02
-8.0560E-02,7.0838001813E-02
-8.0550E-02,7.0939368815E-02
-8.0540E-02,7.1227974518E-02
-8.0530E-02,7.0726511558E-02
-8.0520E-02,7.0578726364E-02
-8.0510E-02,7.0435252732E-02
-8.0500E-02,7.0686816770E-02
-8.0490E-02,7.0796084010E-02
-8.0480E-02,7.0449035234E-02
-8.0470E-02,7.0629252986E-02
-8.0460E-02,7.0785575472E-02
-8.0450E-02,7.0098993828E-02
-8.0440E-02,6.9914312881E-02
-8.0430E-02,6.9932186646E-02
-8.0420E-02,7.0674140531E-02
-8.0410E-02,7.0981752964E-02
-8.0400E-02,7.0901053040E-02
-8.0390E-02,7.0848291006E-02
-8.0380E-02,7.1310813534E-02
-8.0370E-02,7.0904862969E-02
-8.0360E-02,7.0450768061E-02
-8.0350E-02,7.0523388456E-02
-8.0340E-02,7.0695250113E-02
-8.0330E-02,7.0177825505E-02
-8.0320E-02,7.0109709313E-02
-8.0310E-02,7.0377840582E-02
-8.0300E-02,7.0365776601E-02
-8.0290E-02,7.0646999912E-02
-8.0280E-02,7.0544329237E-02
-8.0270E-02,7.0561639381E-02
-8.0260E-02,7.0042234945E-02
-8.0250E-02,7.0242659149E-02
-8.0240E-02,7.0544442725E-02
-8.0230E-02,6.9989718959E-02
-8.0220E-02,7.0688523847E-02
-8.0210E-02,7.0471444674E-02
-8.0200E-02,6.9788600480E-02
-8.0190E-02,7.0154567294E-02
-8.0180E-02,7.0602298334E-02
-8.0170E-02,7.0827545727E-02
-8.0160E-02,7.1138883213E-02
-8.0150E-02,7.0786227786E-02
