[],CH2[]
-7.9980E-02,1.697607782E-01
-7.9960E-02,1.695749457E-01
-7.9940E-02,1.707419489E-01
-7.9920E-02,1.721823162E-01
-7.9900E-02,1.738491402E-01
-7.9880E-02,1.743288441E-01
-7.9860E-02,1.757977196E-01
-7.9840E-02,1.769522721E-01
-7.9820E-02,1.782223704E-01
-7.9800E-02,1.799595364E-01
-7.9780E-02,1.817151779E-01
-7.9760E-02,1.827660684E-01
-7.9740E-02,1.836739426E-01
-7.9720E-02,1.843476701E-01
-7.9700E-02,1.854606038E-01
-7.9680E-02,1.864788004E-01
-7.9660E-02,1.880390899E-01
-7.9640E-02,1.890761283E-01
-7.9620E-02,1.900153678E-01
-7.9600E-02,1.919633793E-01
-7.9580E-02,1.934566326E-01
-7.9560E-02,1.941474042E-01
-7.9540E-02,1.952917162E-01
-7.9520E-02,1.970871550E-01
-7.9500E-02,1.983164727E-01
-7.9480E-02,1.991628802E-01
-7.9460E-02,1.998757661E-01
-7.9440E-02,2.007365154E-01
-7.9420E-02,2.015260185E-01
-7.9400E-02,2.024510307E-01
-7.9380E-02,2.032348971E-01
-7.9360E-02,2.042406330E-01
-7.9340E-02,2.052759281E-01
-7.9320E-02,2.055972691E-01
-7.9300E-02,2.059287435E-01
-7.9280E-02,2.063585063E-01
-7.9260E-02,2.068732745E-01
-7.9240E-02,2.082548783E-01
-7.9220E-02,2.088634245E-01
-7.9200E-02,2.090871098E-01
-7.9180E-02,2.095137976E-01
-7.9160E-02,2.096996477E-01
-7.9140E-02,2.108775285E-01
-7.9120E-02,2.108653763E-01
-7.9100E-02,2.119710936E-01
-7.9080E-02,2.120318665E-01
-7.9060E-02,2.122249779E-01
-7.9040E-02,2.124600782E-01
-7.9020E-02,2.125874466E-01
-7.9000E-02,2.126343107E-01
-7.8980E-02,2.123574080E-01
-7.8960E-02,2.119998817E-01
-7.8940E-02,2.123599591E-01
-7.8920E-02,2.118947672E-01
-7.8900E-02,2.121759276E-01
-7.8880E-02,2.122552356E-01
-7.8860E-02,2.112550491E-01
-7.8840E-02,2.117865476E-01
-7.8820E-02,2.115325517E-01
